Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17
ARI,@DET,@IND,DAL,SF,@PHI,TB,@LAR,BYE,@SF,SEA,@HOU,JAX,LAR,TEN,@WAS,NYG,@SEA
ATL,@CHI,GB,@DET,BUF,BYE,MIA,@NE,@NYJ,@CAR,DAL,@SEA,TB,MIN,NO,@TB,@NO,CAR
BAL,@CIN,CLE,@JAX,PIT,@LV,CHI,@MIN,MIA,@TEN,BYE,@GB,HOU,DET,@PIT,@CLE,IND,CIN
BUF,NYJ,@CAR,DEN,@ATL,@CIN,BYE,TB,LV,@NYJ,NO,@LAC,@KC,NE,IND,MIA,@NE,@MIA
CAR,@SF,BUF,NO,@NE,@DET,PHI,@CHI,@TB,ATL,MIA,BYE,@NYJ,@NO,MIN,GB,TB,@ATL
CHI,ATL,@TB,PIT,@GB,MIN,@BAL,CAR,@NO,BYE,GB,DET,@PHI,SF,@CIN,@DET,CLE,@MIN
CIN,BAL,HOU,@GB,@CLE,BUF,BYE,@PIT,IND,@JAX,@TEN,@DEN,CLE,PIT,CHI,@MIN,DET,@BAL
CLE,PIT,@BAL,@IND,CIN,NYJ,@HOU,TEN,MIN,BYE,@DET,JAX,@CIN,@LAC,GB,BAL,@CHI,@PIT
DAL,NYG,@DEN,@ARI,LAR,GB,BYE,@SF,@WAS,KC,@ATL,PHI,LAC,WAS,@NYG,@LV,SEA,@PHI
DEN,LAC,DAL,@BUF,LV,BYE,NYG,@LAC,@KC,@PHI,NE,CIN,@LV,@MIA,NYJ,@IND,@WAS,KC
DET,ARI,@NYG,ATL,@MIN,CAR,@NO,BYE,PIT,@GB,CLE,@CHI,MIN,@BAL,@TB,CHI,@CIN,GB
GB,SEA,@ATL,CIN,CHI,@DAL,@MIN,NO,BYE,DET,@CHI,BAL,@PIT,TB,@CLE,@CAR,MIN,@DET
HOU,JAX,@CIN,@NE,TEN,KC,CLE,BYE,@SEA,IND,@LAR,ARI,@BAL,@TEN,SF,@JAX,PIT,@IND
IND,@LAR,ARI,CLE,@SEA,SF,@TEN,JAX,@CIN,@HOU,PIT,BYE,TEN,@JAX,@BUF,DEN,@BAL,HOU
JAX,@HOU,TEN,BAL,@NYJ,@PIT,LAR,@IND,BYE,CIN,LAC,@CLE,@ARI,IND,SEA,HOU,@SF,@TEN
KC,@NE,PHI,@LAC,WAS,@HOU,PIT,@LV,DEN,@DAL,BYE,@NYG,BUF,@NYJ,LV,LAC,MIA,@DEN
LAC,@DEN,MIA,KC,PHI,@NYG,@LV,DEN,@NE,BYE,@JAX,BUF,@DAL,CLE,WAS,@KC,@NYJ,LV
LAR,IND,WAS,@SF,@DAL,SEA,@JAX,ARI,BYE,@NYG,HOU,@MIN,NO,@ARI,PHI,@SEA,@TEN,SF
LV,@TEN,NYJ,@WAS,@DEN,BAL,LAC,KC,@BUF,@MIA,BYE,NE,DEN,NYG,@KC,DAL,@PHI,@LAC
MIA,BYE,@LAC,@NYJ,NO,TEN,@ATL,NYJ,@BAL,LV,@CAR,TB,@NE,DEN,NE,@BUF,@KC,BUF
MIN,NO,@PIT,TB,DET,@CHI,GB,BAL,@CLE,BYE,@WAS,LAR,@DET,@ATL,@CAR,CIN,@GB,CHI
NE,KC,@NO,HOU,CAR,@TB,@NYJ,ATL,LAC,BYE,@DEN,@LV,MIA,@BUF,@MIA,@PIT,BUF,NYJ
NO,@MIN,NE,@CAR,@MIA,BYE,DET,@GB,CHI,TB,@BUF,WAS,@LAR,CAR,@ATL,NYJ,ATL,@TB
NYG,@DAL,DET,@PHI,@TB,LAC,@DEN,SEA,BYE,LAR,@SF,KC,@WAS,@LV,DAL,PHI,@ARI,WAS
NYJ,@BUF,@LV,MIA,JAX,@CLE,NE,@MIA,ATL,BUF,@TB,BYE,CAR,KC,@DEN,@NO,LAC,@NE
PHI,@WAS,@KC,NYG,@LAC,ARI,@CAR,WAS,SF,DEN,BYE,@DAL,CHI,@SEA,@LAR,@NYG,LV,DAL
PIT,@CLE,MIN,@CHI,@BAL,JAX,@KC,CIN,@DET,BYE,@IND,TEN,GB,@CIN,BAL,NE,@HOU,CLE
SEA,@GB,SF,@TEN,IND,@LAR,BYE,@NYG,HOU,WAS,@ARI,ATL,@SF,PHI,@JAX,LAR,@DAL,ARI
SF,CAR,@SEA,LAR,@ARI,@IND,@WAS,DAL,@PHI,ARI,NYG,BYE,SEA,@CHI,@HOU,TEN,JAX,@LAR
TB,BYE,CHI,@MIN,NYG,NE,@ARI,@BUF,CAR,@NO,NYJ,@MIA,@ATL,@GB,DET,ATL,@CAR,NO
TEN,LV,@JAX,SEA,@HOU,@MIA,IND,@CLE,BYE,BAL,CIN,@PIT,@IND,HOU,@ARI,@SF,LAR,JAX
WAS,PHI,@LAR,LV,@KC,BYE,SF,@PHI,DAL,@SEA,MIN,@NO,NYG,@DAL,@LAC,ARI,DEN,@NYG
